127.0.0.1, 2016-06-22 19:20:35, GET, /Atento_Brigada/default/index, HTTP/1.1, 200, 0.235000
127.0.0.1, 2016-06-22 19:20:35, GET, /Atento_Brigada/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-06-22 19:20:35, GET, /Atento_Brigada/static/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-06-22 19:20:35, GET, /Atento_Brigada/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.015000
127.0.0.1, 2016-06-22 19:20:35, GET, /Atento_Brigada/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.009000
127.0.0.1, 2016-06-22 19:20:35, GET, /Atento_Brigada/static/js/calendar.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2016-06-22 19:20:35, GET, /Atento_Brigada/static/css/calendar.css, HTTP/1.1, 200, 0.011000
127.0.0.1, 2016-06-22 19:20:35, GET, /Atento_Brigada/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-06-22 19:20:35, GET, /Atento_Brigada/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2016-06-22 19:20:36, GET, /Atento_Brigada/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-06-22 19:20:36, GET, /Atento_Brigada/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-06-22 19:20:36, GET, /Atento_Brigada/static/images/background.jpg, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-06-22 19:20:36, GET, /Atento_Brigada/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-06-22 19:20:36, GET, /Atento_Brigada/static/images/twitter.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-06-22 19:20:36, GET, /Atento_Brigada/static/images/facebook.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-06-22 19:20:36, GET, /Atento_Brigada/static/images/gplus-32.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-06-22 19:20:36, GET, /Atento_Brigada/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-06-22 19:20:42, GET, /Atento_Brigada/default/user/login, HTTP/1.1, 200, 0.063000
127.0.0.1, 2016-06-22 19:20:59, POST, /Atento_Brigada/default/user/login, HTTP/1.1, 303, 0.051000
127.0.0.1, 2016-06-22 19:20:59, GET, /Atento_Brigada/default/user/login, HTTP/1.1, 200, 0.047000
127.0.0.1, 2016-06-22 19:21:07, GET, /Atento_Brigada/default/index, HTTP/1.1, 200, 0.053000
127.0.0.1, 2016-06-22 19:23:26, GET, /Atento_Brigada/default/index, HTTP/1.1, 200, 0.057000
127.0.0.1, 2016-06-22 19:23:26, GET, /Atento_Brigada/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-06-22 19:23:26, GET, /Atento_Brigada/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-06-22 19:23:26, GET, /Atento_Brigada/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-06-22 19:23:26, GET, /Atento_Brigada/static/css/calendar.css, HTTP/1.1, 304, 0.005000
127.0.0.1, 2016-06-22 19:23:26, GET, /Atento_Brigada/static/js/calendar.js, HTTP/1.1, 304, 0.020000
127.0.0.1, 2016-06-22 19:23:26, GET, /Atento_Brigada/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-06-22 19:23:26, GET, /Atento_Brigada/static/js/web2py.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-06-22 19:23:26, GET, /Atento_Brigada/static/js/share.js, HTTP/1.1, 304, 0.003000
, 0.001000
127.0.0.1, 2016-06-22 19:23:27, GET, /Atento_Brigada/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.002000
